Receiver time, Accel X,Y,Z, Gyro X,Y,Z, Quaternion W,X,Y,Z, dt(or)index
1418450559756,-575,-522,-1747,0,3,2,-218807774,-608933512,856444914,27326741,23893
1418450559756,-573,-527,-1737,0,5,2,-218820993,-608927496,856446205,27314493,23898
1418450559763,-573,-527,-1744,0,4,2,-218832544,-608921428,856447884,27304564,23903
1418450559763,-566,-524,-1745,0,3,4,-218841616,-608910769,856453448,27295055,23909
1418450559774,-570,-526,-1739,1,4,1,-218850245,-608907764,856453745,27283595,23914
1418450559774,-571,-524,-1737,2,4,1,-218858032,-608905224,856454000,27269806,23919
1418450559793,-580,-535,-1737,2,3,1,-218863597,-608902564,856454864,27257390,23924
1418450559793,-578,-529,-1741,2,3,1,-218870680,-608899757,856455430,27245417,23929
1418450559796,-580,-525,-1734,0,1,-1,-218879441,-608899727,856453302,27242610,23934
1418450559796,-577,-530,-1725,-1,0,-1,-218887806,-608898928,856451713,27243214,23939
1418450559828,-573,-522,-1730,-5,-2,0,-218897023,-608894004,856452513,27254079,23944
1418450559828,-573,-523,-1728,-9,-2,1,-218911678,-608884543,856454892,27272949,23949
1418450559830,-576,-525,-1724,-10,-4,1,-218923546,-608874348,856458326,27297447,23955
1418450559830,-574,-517,-1737,-10,-2,0,-218940493,-608866495,856458881,27319282,23960
1418450559833,-575,-526,-1730,-10,-2,3,-218956330,-608851874,856464609,27338638,23965
1418450559833,-575,-525,-1737,-9,-3,2,-218969186,-608840034,856469096,27358764,23970
1418450559835,-577,-526,-1744,-11,-2,1,-218987085,-608829415,856471317,27382266,23975
1418450559835,-580,-528,-1741,-11,-4,3,-219000467,-608814088,856477976,27407749,23980
1418450559839,-575,-530,-1726,-11,-5,1,-219011963,-608803171,856481892,27436010,23985
1418450559839,-574,-523,-1740,-11,-6,2,-219021641,-608789942,856487861,27465942,23990
1418450559858,-572,-529,-1733,-13,-6,3,-219033416,-608773327,856495594,27499141,23995
1418450559858,-571,-526,-1749,-14,-7,2,-219044990,-608758378,856502024,27537586,24001
1418450559860,-571,-535,-1745,-16,-9,0,-219054034,-608746776,856506442,27584668,24006
1418450559860,-571,-528,-1731,-19,-8,0,-219070983,-608733524,856509810,27637858,24011
1418450559893,-574,-529,-1739,-17,-7,0,-219087197,-608721383,856512794,27684243,24016
1418450559893,-576,-532,-1740,-15,-6,1,-219102465,-608708180,856516996,27723678,24021
1418450559895,-574,-532,-1746,-13,-6,0,-219114735,-608698399,856519656,27759264,24026
1418450559895,-572,-534,-1730,-10,-7,-1,-219119307,-608692657,856521560,27790302,24031
1418450559898,-574,-529,-1739,-8,-7,-1,-219121354,-608688045,856523441,27817204,24036
1418450559898,-565,-524,-1741,-7,-6,-2,-219123415,-608686344,856523379,27840089,24041
1418450559900,-574,-521,-1742,-5,-5,-2,-219123279,-608686080,856523054,27856920,24047
1418450559900,-567,-525,-1739,-3,-5,-1,-219120559,-608684472,856524543,27867656,24052
1418450559917,-573,-523,-1740,-5,-4,-3,-219122973,-608686507,856521967,27883406,24057
1418450559917,-563,-526,-1740,-3,-3,-4,-219124725,-608691914,856517367,27892919,24062
1418450559919,-565,-524,-1743,-1,-3,-3,-219122583,-608696464,856514506,27898289,24067
1418450559920,-575,-525,-1742,-1,-3,-1,-219120502,-608696410,856514952,27902132,24072
1418450559952,-566,-526,-1743,-2,-3,-1,-219121068,-608695531,856515252,27907646,24077
1418450559952,-566,-530,-1740,0,0,-3,-219121997,-608700758,856511313,27907253,24082
1418450559954,-566,-521,-1746,-1,-3,-2,-219116556,-608703488,856510624,27911550,24087
1418450559955,-561,-515,-1740,-1,-3,-2,-219114158,-608705689,856509542,27915586,24093
1418450559957,-566,-516,-1741,-4,-4,-2,-219113796,-608706112,856508933,27927889,24098
1418450559957,-569,-513,-1749,-6,-4,-1,-219117224,-608702977,856509762,27943900,24103
1418450559959,-571,-526,-1735,-6,-1,0,-219127264,-608697741,856510588,27953901,24108
1418450559959,-563,-539,-1740,-3,1,0,-219140305,-608693769,856509963,27957312,24113
1418450559991,-570,-528,-1739,-3,0,1,-219150983,-608687744,856511308,27963574,24118
1418450559991,-562,-533,-1736,0,1,1,-219159066,-608683303,856512519,27959799,24123
1418450559993,-564,-545,-1742,3,3,-1,-219162525,-608686039,856510090,27947526,24129
1418450559993,-566,-535,-1744,5,3,-3,-219163244,-608694566,856504325,27932860,24133
1418450559995,-567,-535,-1734,8,3,-3,-219158552,-608704747,856499028,27910221,24139
1418450559996,-565,-536,-1730,10,4,-4,-219153402,-608718368,856491585,27881982,24144
1418450559999,-571,-534,-1724,12,5,-5,-219147294,-608735543,856482033,27848418,24149
1418450559999,-571,-528,-1745,13,8,-4,-219147197,-608751052,856472395,27806553,24154
1418450560030,-569,-524,-1748,13,6,-5,-219141065,-608768783,856462619,27767813,24159
1418450560030,-566,-527,-1733,13,7,-4,-219136709,-608784350,856454003,27726613,24164
1418450560035,-571,-523,-1740,14,8,-4,-219133657,-608800576,856444688,27682127,24169
1418450560035,-570,-519,-1741,15,8,-4,-219128849,-608817284,856435577,27634587,24174
1418450560038,-562,-524,-1740,12,9,-4,-219130794,-608832322,856425764,27591958,24179
1418450560038,-570,-525,-1736,10,9,-3,-219135689,-608844130,856417326,27554391,24185
1418450560040,-570,-511,-1742,8,9,-4,-219144741,-608856844,856407028,27521537,24190
1418450560040,-568,-511,-1736,7,7,-3,-219149743,-608866498,856399826,27492225,24195
1418450560075,-566,-525,-1747,6,7,-3,-219156473,-608875582,856392506,27465384,24200
1418450560076,-573,-524,-1737,4,6,-2,-219164406,-608881347,856387011,27445601,24205
1418450560078,-572,-522,-1741,3,8,-1,-219179652,-608884161,856381809,27423744,24210
1418450560078,-567,-520,-1725,2,6,-1,-219191540,-608886282,856377786,27407271,24215
1418450560080,-563,-522,-1727,1,7,0,-219207590,-608885627,856374659,27391135,24220
